self_press_hist,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps
0.0,0.38213834510381023,0.2979857717689429,0.31987588312724685,0.2979857717689429,0.38213834510381023,0.31987588312724685,9.776789666177542e-33,1.0,0.0,2.0,1
1.0,0.42328024708268863,0.24320105680686904,0.3335186961104422,0.24320105680686904,0.42328024708268863,0.3335186961104422,1.0,9.480409377583236e-17,1.0,2.0,2
1.0,0.45854786170280704,0.2031460280680937,0.3383061102290992,0.281602297612673,0.3552518811075187,0.36314582127980827,1.0,0.9999999999999998,1.0,2.0,3
0.0,0.4938661430402809,0.18336395269717742,0.32276990426254176,0.261600252048877,0.3834700281457039,0.3549297198054191,5.118280740045535e-33,1.0,0.0,2.0,4
0.0,0.527971835204855,0.16217866015429086,0.3098495046408541,0.24392103386431757,0.40561991805125275,0.3504590480844297,4.548284498162187e-33,1.0,0.0,2.0,5
0.0,0.5876273307524891,0.13454654661160004,0.2778261226359108,0.2701498332800291,0.38032921226636457,0.3495209544536062,6.008658720308646e-33,1.482733054263345e-16,0.0,2.0,6
1.0,0.6230046636840659,0.1061956930400457,0.2707996432758884,0.2841786673140569,0.3464058774883682,0.36941545519757496,1.0,1.0,1.0,2.0,7
1.0,0.6634035079473365,0.07983051463778466,0.2567659774148789,0.29075504469628044,0.3258495497346441,0.3833954055690754,1.0,1.0,1.0,2.0,8
1.0,0.6888116527687014,0.06398897161025441,0.24719937562104427,0.24026718259795984,0.3597189213685633,0.40001389603347687,1.0,1.1973509362327467e-16,1.0,2.0,9
0.0,0.7137643027186765,0.054482395939603204,0.23175330134172034,0.22820227697014736,0.3724448750755395,0.3993528479543131,2.1395756815547023e-33,1.0,0.0,2.0,10
0.0,0.7614888790643886,0.039594802455239234,0.19891631848037222,0.22988169681295514,0.3691921267255037,0.4009261764615411,2.8713163120146755e-33,1.190573806240281e-16,0.0,2.0,11
1.0,0.7888856212959189,0.02867150962743905,0.18244286907664203,0.2334384032358139,0.3519578208254958,0.4146037759386902,1.0,1.0,1.0,2.0,12
1.0,0.8134291296963657,0.02066549899273475,0.16590537131089936,0.20074579701802994,0.3704607062189368,0.42879349676303324,1.0,1.0913543067287183e-16,1.0,2.0,13
1.0,0.8384639399255834,0.014118737339585179,0.14741732273483127,0.17627568228125234,0.38319983444378203,0.44052448327496563,1.0,1.0220256036030403e-16,1.0,2.0,14
0.0,0.8530511045283669,0.01154606035994861,0.13540283511168463,0.16885199469146742,0.38960555289594606,0.4415424524125865,1.42705067019181e-33,1.0,0.0,2.0,15
1.0,0.87096026666083,0.008059714906286925,0.1209800184328831,0.16946311261274716,0.37602954874430866,0.45450733864294424,1.0,1.0,1.0,2.0,16
0.0,0.8960356206613581,0.005199238063667412,0.09876514127497445,0.16472878998339707,0.37612012349870183,0.45915108651790104,1.2359315275871059e-33,1.0885232673103312e-16,0.0,2.0,17
1.0,0.9094776548321523,0.0035264829533488687,0.08699586221449886,0.16336088836346696,0.3661141974342791,0.47052491420225395,1.0,1.0,1.0,2.0,18
1.0,0.9220078474863401,0.0023079067046342626,0.07568424580902576,0.14547972783186439,0.3737810908322795,0.4807391813358562,1.0,1.0282950359457153e-16,1.0,2.0,19
1.0,0.9324523114873837,0.001536522483677324,0.06601116602893907,0.14339520780855128,0.3656110397518352,0.49099375243961346,1.0,1.0,1.0,2.0,20
1.0,0.9417012224775347,0.0010100558589673087,0.05728872166349793,0.14082440357804232,0.35885065671294053,0.5003249397090171,1.0,1.0,1.0,2.0,21
1.0,0.9501509100144042,0.0006443475972638889,0.04920474238833192,0.12654280379077898,0.36392210782574597,0.509535088383475,1.0,1.0264667266335498e-16,1.0,2.0,22
0.0,0.9607802936632192,0.00038514037807984837,0.03883456595870083,0.12072381568808135,0.36412202065882177,0.5151541636530969,6.802237614905709e-34,1.0265902167808112e-16,0.0,2.0,23
1.0,0.966653105321566,0.000241661180115406,0.033105233498318586,0.1091813861247862,0.3675603807014172,0.5232582331737966,1.0,1.0109937474238404e-16,1.0,2.0,24
1.0,0.9717530256861537,0.00015008900129318675,0.02809688531255292,0.09921064144567297,0.37021503765614033,0.5305743208981867,1.0,1.0007535752611026e-16,1.0,2.0,25
