self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.64,0.4005915294041946,0.2670610196027964,0.33234745099300905,0.3105771393175882,0.3550884240387915,0.3343344366436203,9.471421278648717e-33,1.0,0.0,0.0,1,0308115842
1.0,0.64,0.47023694018155343,0.20899419563624597,0.32076886418220074,0.33109091325371875,0.33262504372411084,0.3362840430221704,1.0,1.0,1.0,0.0,2,0308115842
1.0,0.64,0.5276041324670363,0.1639229060194383,0.3084729615135254,0.3422069163032027,0.3207630209035526,0.3370300627932447,1.0,1.0,1.0,0.0,3,0308115842
0.0,0.64,0.5902899382089644,0.1222659643355412,0.2874440974554944,0.3610558081767782,0.30140326612822765,0.3375409256949942,8.267831839838865e-33,1.2475543577772e-16,0.0,0.0,4,0308115842
1.0,0.64,0.634703027890613,0.09410848867414609,0.271188483435241,0.36878570154028645,0.29349561062335794,0.33771868783635567,1.0,1.0,1.0,0.0,5,0308115842
1.0,0.64,0.6747012897074628,0.0712146519273176,0.25408405836521974,0.3760063270362297,0.2861571373599735,0.33783653560379684,1.0,1.0,1.0,0.0,6,0308115842
1.0,0.64,0.709638785288953,0.05327552600834345,0.23708568870270347,0.3826006773155331,0.2794986292155008,0.33790069346896623,1.0,1.0,1.0,0.0,7,0308115842
1.0,0.64,0.7570582868015324,0.03789033640253494,0.20505137679593266,0.36792877405088403,0.29198030516564843,0.34009092078346753,1.0,1.5558510845113543e-16,1.0,0.0,8,0308115842
0.0,0.64,0.7971521514194218,0.024844552841789495,0.17800329573878867,0.37858269253128074,0.28118121826510234,0.34023608920361686,3.284637754854224e-33,9.636572721591266e-17,0.0,0.0,9,0308115842
0.0,0.64,0.8217334793709578,0.019136451224535767,0.1591300694045064,0.36929191908466774,0.28915216958276446,0.34155591133256785,1.406114989365536e-33,0.9999999999999998,0.0,0.0,10,0308115842
1.0,0.64,0.8408944270345013,0.013924537242853058,0.14518103572264554,0.37394210639307296,0.28431572705173214,0.3417421665551949,1.0,1.0,1.0,0.0,11,0308115842
1.0,0.64,0.8582475834764014,0.009990130003946093,0.13176228651965255,0.37806178335485535,0.28000281865119486,0.34193539799394984,1.0,1.0,1.0,0.0,12,0308115842
1.0,0.64,0.8921741717528685,0.005597328398715136,0.10222849984841642,0.37768298138442236,0.2792638305461943,0.34305318806938334,1.0,1.2115478717644755e-16,1.0,0.0,13,0308115842
0.0,0.64,0.9117850117301026,0.0037719278449560942,0.08444306042494136,0.3766487472517714,0.27943037049081065,0.3439208822574181,7.948159956924053e-34,1.0,0.0,0.0,14,0308115842
0.0,0.64,0.9287079877991513,0.0022167742425355276,0.06907523795831307,0.38307369091250076,0.2726719864826047,0.3442543226048946,1.712948038515754e-33,1.0426708613895328e-16,0.0,0.0,15,0308115842
1.0,0.64,0.9478274826097947,0.001123232967356461,0.0510492844228489,0.38522334307656436,0.2696605128383414,0.3451161440850943,1.0,1.0971273094526277e-16,1.0,0.0,16,0308115842
1.0,0.64,0.9625195344303737,0.0005441011859482412,0.03693636438367799,0.38754593015868394,0.266563358247616,0.3458907115937,1.0,1.0496973582246159e-16,1.0,0.0,17,0308115842
0.0,0.64,0.9705428247019992,0.00030171028919228867,0.02915546500880864,0.392136117032474,0.26156897901039833,0.3462949039571278,8.825960919167144e-34,9.927731265156249e-17,0.0,0.0,18,0308115842
1.0,0.64,0.9737530442981254,0.00021114364902306953,0.02603581205285147,0.39438128395581346,0.25918236578189385,0.3464363502622928,1.0,1.0,1.0,0.0,19,0308115842
1.0,0.64,0.976775923040857,0.00014636360894606165,0.023077713350196975,0.39653894717685073,0.25685072005582416,0.34661033276732517,1.0,1.0,1.0,0.0,20,0308115842
0.0,0.64,0.9817650395182181,9.172860840126956e-05,0.018143231873380346,0.3984917612185583,0.25437309098327016,0.3471351477981716,5.07578215043398e-34,1.0,0.0,0.0,21,0308115842
1.0,0.64,0.9870731649413851,4.3018441062538747e-05,0.012883816617552467,0.40116880663749266,0.25115972224098926,0.347671471121518,1.0,1.0366646249484599e-16,1.0,0.0,22,0308115842
1.0,0.64,0.9909312569283257,1.9850061616537276e-05,0.00904889301005773,0.4037269982914604,0.24811151692373998,0.3481614847847995,1.0,1.0206517021447842e-16,1.0,0.0,23,0308115842
1.0,0.64,0.9936842487676874,9.057495840529046e-06,0.006306693736471945,0.4061343997564579,0.24525990141972567,0.3486056988238164,1.0,1.0097897493572643e-16,1.0,0.0,24,0308115842
0.0,0.64,0.9951242746511167,4.856350789137017e-06,0.0048708689980939785,0.4095494507435156,0.24150976669432042,0.34894078256216393,4.876160614797213e-34,9.961514552876208e-17,0.0,0.0,25,0308115842
