self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.88,0.2979857717689429,0.38213834510381023,0.31987588312724685,0.2979857717689429,0.38213834510381023,0.31987588312724685,9.776789666177542e-33,9.776789666177576e-17,1.0,3.0,1,0308121903
1.0,0.88,0.24320105680686904,0.42328024708268863,0.3335186961104422,0.24320105680686904,0.42328024708268863,0.3335186961104422,1.0,1.0,0.0,3.0,2,0308121903
0.0,0.88,0.22298977193760375,0.4552265698977455,0.3217836581646508,0.22298977193760375,0.4552265698977455,0.3217836581646508,7.623459956363424e-33,7.623459956363451e-17,1.0,3.0,3,0308121903
1.0,0.88,0.253142772518067,0.42576363825856944,0.3210935892233636,0.18840476482119706,0.5196051633221281,0.2919900718566747,1.0,6.237978236745264e-17,1.0,3.0,4,0308121903
0.0,0.88,0.2331091590387251,0.45320733962449894,0.31368350133677597,0.1695348161900738,0.5505072011076575,0.27995798270226885,8.927816904081363e-33,6.696276241722422e-17,1.0,3.0,5,0308121903
1.0,0.88,0.23914162924713256,0.4518150674342873,0.3090433033185801,0.13706934521437047,0.6089708224775958,0.2539598323080337,1.0,4.6188965186351354e-17,1.0,3.0,6,0308121903
1.0,0.88,0.19542807747677518,0.48887923880110584,0.3156926837221189,0.11041180717467154,0.6397996645286815,0.24978852829664702,1.0,1.0,0.0,3.0,7,0308121903
1.0,0.88,0.1941840600251493,0.49497683352721944,0.3108391064476314,0.08641801418185872,0.6902857317141544,0.2232962541039868,1.0,2.7171269825086755e-17,1.0,3.0,8,0308121903
1.0,0.88,0.18988893515300395,0.5037203099295181,0.306390754917478,0.06651121847685292,0.7340607610849178,0.1994280204382293,1.0,2.4729448214046457e-17,1.0,3.0,9,0308121903
1.0,0.88,0.18457055283614313,0.5129618464780915,0.3024676006857654,0.05065794405774174,0.7713951244897499,0.17794693145250834,1.0,2.312560138650513e-17,1.0,3.0,10,0308121903
1.0,0.88,0.15265245143448142,0.5439497154595805,0.30339783310593815,0.038003097665592976,0.7967511564637079,0.16524574587069915,1.0,1.0,0.0,3.0,11,0308121903
1.0,0.88,0.12814259535485292,0.5703087494273589,0.30154865521778834,0.027339692729082002,0.8228621333091123,0.14979817396180564,1.0,1.0,0.0,3.0,12,0308121903
1.0,0.88,0.1235330215077326,0.5788825869222299,0.2975843915700375,0.02031938887592379,0.8478594318671848,0.1318211792568914,1.0,1.1133094270195428e-17,1.0,3.0,13,0308121903
1.0,0.88,0.10481642102448431,0.6004897561584648,0.2946938228170508,0.014246813401406981,0.8676927277612952,0.11806045883729774,1.0,1.0,0.0,3.0,14,0308121903
1.0,0.88,0.10045741300097316,0.6086675260828786,0.2908750609161482,0.010422905481660492,0.8861940108797992,0.10338308363854033,1.0,8.169908597110939e-18,1.0,3.0,15,0308121903
1.0,0.88,0.08594950375148545,0.6265120872901492,0.2875384089583653,0.007179662970012514,0.9008216937738166,0.09199864325617106,1.0,1.0,0.0,3.0,16,0308121903
1.0,0.88,0.08204357508477259,0.6341048012444116,0.28385162367081573,0.00518702426904403,0.9145159372002598,0.08029703853069632,1.0,6.264268128022695e-18,1.0,3.0,17,0308121903
1.0,0.88,0.07817544208979492,0.6413975845710179,0.2804269733391872,0.0037203335916797613,0.9262164669921069,0.07006319941621325,1.0,6.069614380674296e-18,1.0,3.0,18,0308121903
1.0,0.88,0.06733249384260742,0.655766034133615,0.27690147202377763,0.0025265281166377386,0.9354031538631762,0.06207031802018617,1.0,1.0,0.0,3.0,19,0308121903
1.0,0.88,0.06404988773014043,0.6623522766873781,0.2735978355824817,0.0017977044538122087,0.9441227216874474,0.05407957385874038,1.0,4.841444177880959e-18,1.0,3.0,20,0308121903
1.0,0.88,0.06088919250410729,0.668603226245061,0.27050758125083185,0.0012730854186624333,0.9516115537749025,0.04711536080643517,1.0,4.73314377886939e-18,1.0,3.0,21,0308121903
1.0,0.88,0.05268998233550186,0.6803700902168967,0.2669399274476015,0.0008559154201733585,0.9575125137383044,0.04163157084152243,1.0,1.0,0.0,3.0,22,0308121903
1.0,0.88,0.05004966616332284,0.6859922411394869,0.26395809269719034,0.0006029553473543419,0.9631533469561896,0.03624369769645593,1.0,3.893369169577312e-18,1.0,3.0,23,0308121903
1.0,0.88,0.04344683378589003,0.696102639905649,0.260450526308461,0.00040267997742387103,0.9676213257668064,0.03197599425576991,1.0,1.0,0.0,3.0,24,0308121903
1.0,0.88,0.03780563861319184,0.70514304504445,0.25705131634235817,0.0002676900315111242,0.9715458117250928,0.02818649824339584,1.0,1.0,0.0,3.0,25,0308121903
