self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.08,0.38213834510381023,0.2979857717689429,0.31987588312724685,0.2979857717689429,0.38213834510381023,0.31987588312724685,9.776789666177542e-33,1.0,0.0,7.0,1,0301100706
1.0,0.08,0.3480947140566282,0.3404380958487669,0.3114671900946049,0.26161029511395734,0.4374817684379292,0.3009079364481135,1.0,1.0,0.0,7.0,2,0301100706
0.0,0.08,0.28526954873377935,0.38323787440413754,0.33149257686208317,0.2138701058122611,0.4770925898802835,0.30903730430745535,9.711522941241308e-33,6.594847221476095e-17,1.0,7.0,3,0301100706
0.0,0.08,0.31093400218128026,0.3614385146832832,0.3276274831354365,0.1911070081140988,0.5178345016120721,0.2910584902738291,1.0099549929284176e-32,1.0,0.0,7.0,4,0301100706
1.0,0.08,0.35399397509928393,0.2923055684722312,0.3537004564284848,0.15373444013543525,0.5541185990977782,0.29214696076678665,1.0,6.200568423580795e-17,1.0,7.0,5,0301100706
0.0,0.08,0.30954803002570636,0.32091813194306024,0.3695338380312334,0.12313335561985538,0.5945809948628209,0.2822856495173237,1.0039945449980611e-32,3.5148703574367146e-17,1.0,7.0,6,0301100706
0.0,0.08,0.32194912486457694,0.3118858255570235,0.3661650495783996,0.10648606344043668,0.6303767786600045,0.2631371578995586,9.032452218568254e-33,1.0,0.0,7.0,7,0301100706
0.0,0.08,0.33063246239286453,0.3041796183048132,0.36518791930232236,0.08977287024683563,0.6656946699895182,0.24453245976364618,8.508859155240779e-33,1.0,0.0,7.0,8,0301100706
0.0,0.08,0.30101518350226125,0.32070750668311754,0.37827730981462115,0.06825655471603397,0.7028156044031187,0.22892784088084728,8.93372627006085e-33,1.8024446406056263e-17,1.0,7.0,9,0301100706
0.0,0.08,0.30646427703731904,0.3145951188332263,0.3789406041294547,0.05615645287712699,0.7331878978833086,0.21065564923956454,8.23118302020853e-33,1.0,0.0,7.0,10,0301100706
0.0,0.08,0.3103252045224864,0.30951000883509605,0.38016478664241765,0.04560788999810322,0.7609216329622142,0.1934704770396825,8.036706950191697e-33,1.0,0.0,7.0,11,0301100706
0.0,0.08,0.3131868721295657,0.30517091685693937,0.3816422110134949,0.03670322239580548,0.7858143208446572,0.17748245675953725,7.905435930601895e-33,1.0,0.0,7.0,12,0301100706
0.0,0.08,0.3153708126449787,0.30140107636015323,0.38322811099486803,0.029330318816089537,0.8079774201579984,0.1626922610259121,7.812086733546161e-33,1.0,0.0,7.0,13,0301100706
0.0,0.08,0.3170711444779921,0.29808097445261866,0.3848478810693893,0.02330538196722434,0.8276364990497629,0.1490581189830128,7.743178777613229e-33,1.0,0.0,7.0,14,0301100706
0.0,0.08,0.2953544133548353,0.3078698269495325,0.39677575969563217,0.016757910023720412,0.8491320627638098,0.13411002721246973,8.416841056114066e-33,6.843520457740936e-18,1.0,7.0,15,0301100706
0.0,0.08,0.2791349428972345,0.3143656021295141,0.40649945497325146,0.011634556877398316,0.8697802935127752,0.11858514960982641,8.068638304816975e-33,6.37417290238267e-18,1.0,7.0,16,0301100706
0.0,0.08,0.26599355081462467,0.31915528915984015,0.4148511600255351,0.007902394096761379,0.8881028584109015,0.10399474749233706,7.861630601047863e-33,6.0550075376453e-18,1.0,7.0,17,0301100706
0.0,0.08,0.2548741379334141,0.32290479335841504,0.4222210687081709,0.005285620120298238,0.9039155763463145,0.0907988035333873,7.724271390793915e-33,5.821552392598697e-18,1.0,7.0,18,0301100706
0.0,0.08,0.25517282069490826,0.32067302352317656,0.42415415578191523,0.004103325908144031,0.9138057615589505,0.08209091253290546,7.712915866664612e-33,1.0,0.0,7.0,19,0301100706
0.0,0.08,0.24558522037227712,0.32360615948957233,0.43080862013815063,0.00270864572673374,0.9259222291956173,0.07136912507764888,7.629675953057314e-33,4.9498718879173776e-18,1.0,7.0,20,0301100706
0.0,0.08,0.2454079933306699,0.3217800694107803,0.43281193725854983,0.0020843232550830006,0.9336310873867106,0.06428458935820626,7.672330845015823e-33,1.0,0.0,7.0,21,0301100706
0.0,0.08,0.2370026110710028,0.324120167613112,0.43887722131588514,0.0013617240787161806,0.9429340863517501,0.055704189569533734,7.559849600209485e-33,4.284276946357636e-18,1.0,7.0,22,0301100706
0.0,0.08,0.22946627465460784,0.3260936718513648,0.4444400534940275,0.0008832068003460195,0.9509297149203924,0.04818707827926172,7.50474314608029e-33,4.199173622479516e-18,1.0,7.0,23,0301100706
0.0,0.08,0.2226357115543882,0.3277853432451318,0.4495789452004799,0.0005694926763846172,0.9577948564168316,0.0416356509067837,7.461284544616361e-33,4.1292841532464916e-18,1.0,7.0,24,0301100706
0.0,0.08,0.2163909594065838,0.3292542453547149,0.4543547952387014,0.0003654419502475343,0.9636898168013459,0.035944741248406575,7.426206343596448e-33,4.071132892158099e-18,1.0,7.0,25,0301100706
