self_press_hist,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps
0.0,0.38213834510381023,0.2979857717689429,0.31987588312724685,0.38213834510381023,0.2979857717689429,0.31987588312724685,9.776789666177542e-33,9.776789666177576e-17,0.0,2.0,1
1.0,0.42328024708268863,0.24320105680686904,0.3335186961104422,0.42328024708268863,0.24320105680686904,0.3335186961104422,1.0,1.0,1.0,2.0,2
1.0,0.45854786170280715,0.20314602806809362,0.3383061102290993,0.3552518811075187,0.281602297612673,0.36314582127980827,1.0,1.3275986677900074e-16,1.0,2.0,3
0.0,0.5147198975638281,0.17313075692429164,0.31214934551188034,0.3268312680146273,0.3151096470349818,0.35805908495039085,6.350711406462855e-33,0.9999999999999998,0.0,2.0,4
1.0,0.548030432812503,0.14306881035720442,0.30890075683029267,0.3624318999302625,0.2652509744768181,0.3723171255929194,1.0,1.0,1.0,2.0,5
0.0,0.5816348447214061,0.12735387489634545,0.2910112803822484,0.38625552860684487,0.24845204371717838,0.3652924276759767,4.889601239389562e-33,9.959803982065925e-17,0.0,2.0,6
1.0,0.6164017656270607,0.10060651196011221,0.2829917224128271,0.35191097618427547,0.26182533710609784,0.3862636867096267,1.0,1.1286390714084429e-16,1.0,2.0,7
0.0,0.6526528047352936,0.08452045964395322,0.26282673562075304,0.3688567493333994,0.24611163628079863,0.38503161438580197,3.0458189180135863e-33,9.024374781035298e-17,0.0,2.0,8
1.0,0.6892215047123711,0.06302306278018718,0.24775543250744175,0.3475225668324321,0.2508146710043804,0.4016627621631875,1.0,9.98109060119215e-17,1.0,2.0,9
0.0,0.731927028517416,0.04827664881695,0.219796322665634,0.336852817206628,0.2582429937447932,0.40490418904857883,3.151799793592843e-33,0.9999999999999998,0.0,2.0,10
1.0,0.755546380656677,0.03734515620663533,0.2071084631366878,0.35758298050927156,0.22421244853258407,0.4182045709581444,1.0,1.0,1.0,2.0,11
1.0,0.7820109347971742,0.027420339353087308,0.19056872584973852,0.3715618583234455,0.19889716623186257,0.42954097544469205,1.0,1.0,1.0,2.0,12
0.0,0.8048855255538936,0.02191844694498403,0.17319602750112234,0.37988762390657904,0.18937997011137944,0.43073240598204154,1.933416921856678e-33,9.547113417494741e-17,0.0,2.0,13
1.0,0.827193648682895,0.01555323866988144,0.15725311264722353,0.36330169261040485,0.1901969157025784,0.44650139168701664,1.0,1.0444926485883721e-16,1.0,2.0,14
0.0,0.8565548726053589,0.010631891780057018,0.13281323561458414,0.35799187921950654,0.18881686438278159,0.45319125639771185,1.4079720356743211e-33,1.0,0.0,2.0,15
1.0,0.874492499478327,0.007249702369783745,0.1182577981518892,0.34617381937876573,0.18692597880358383,0.46690020181765035,1.0,1.0024505737352742e-16,1.0,2.0,16
1.0,0.8887470061936851,0.005095404906298321,0.10615758890001668,0.3545326675569889,0.168008761698928,0.4774585707440832,1.0,1.0,1.0,2.0,17
1.0,0.9021488230705651,0.0034987400522749766,0.09435243687715991,0.36066856949093457,0.15228162477643734,0.4870498057326281,1.0,1.0,1.0,2.0,18
0.0,0.9203628095543422,0.0022270593436101186,0.07741013110204782,0.3577314529415535,0.14797184967065555,0.4942966973877909,7.928308233368913e-34,1.0,0.0,2.0,19
1.0,0.9301958363180259,0.0015015264382498017,0.06830263724372439,0.36207166242625016,0.13505937487393183,0.502868962699818,1.0,1.0,1.0,2.0,20
1.0,0.9389432090231894,0.0010010713177214592,0.06005571965908924,0.3655051735358255,0.12389499224924566,0.5105998342149287,1.0,1.0,1.0,2.0,21
1.0,0.9466329525931215,0.000661865006327159,0.052705182400551186,0.36828328744875,0.1141299205427073,0.5175867920085427,1.0,1.0,1.0,2.0,22
1.0,0.9533562697026646,0.00043478014578234226,0.04620895015155299,0.37056552059659315,0.10550665082881927,0.5239278285745876,1.0,1.0,1.0,2.0,23
1.0,0.9595551053220529,0.0002872375978406329,0.04015765708010657,0.3600600074898894,0.10347606251065201,0.5364639299994586,1.0,1.0520369016031524e-16,1.0,2.0,24
0.0,0.9676087576009341,0.00017345927795469823,0.032217783121111135,0.3578125949527799,0.09924344138769714,0.542943963659523,3.894457083843376e-34,1.0,0.0,2.0,25
