self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.64,0.37773441893654935,0.2889126546302597,0.3333529264331909,0.2889126546302597,0.37773441893654935,0.3333529264331909,9.762071356591737e-33,1.0,0.0,0.0,1,0308154203
1.0,0.64,0.4214598414306204,0.24708972940154192,0.33145042916783773,0.24708972940154192,0.4214598414306204,0.33145042916783773,1.0,9.543310431582446e-17,1.0,0.0,2,0308154203
0.0,0.64,0.45185755782722453,0.21942916913745417,0.3287132730353212,0.21942916913745417,0.45185755782722453,0.3287132730353212,7.428404395505531e-33,1.0,0.0,0.0,3,0308154203
1.0,0.64,0.48742279685454326,0.1885026462035667,0.32407455694188997,0.1885026462035667,0.48742279685454326,0.32407455694189,1.0,7.318957326939321e-17,1.0,0.0,4,0308154203
1.0,0.64,0.5376665386601163,0.15771320429866706,0.30462025704121676,0.21876396085725186,0.43771155533170897,0.34352448381103906,1.0,0.9999999999999998,1.0,0.0,5,0308154203
0.0,0.64,0.5852694063823652,0.12996696992158083,0.28476362369605396,0.2496867019323219,0.3886822270678916,0.36163107099978664,4.53000077039765e-33,1.4504412973598742e-16,0.0,0.0,6,0308154203
1.0,0.64,0.6360090828831158,0.09959426470309247,0.26439665241379173,0.25205486588432324,0.37999722302484695,0.36794791109082975,1.0,1.0,1.0,0.0,7,0308154203
0.0,0.64,0.6606406553118889,0.08566268442496792,0.2536966602631433,0.22604387187556604,0.40410380042488847,0.3698523276995455,2.881475300480773e-33,1.0,0.0,0.0,8,0308154203
1.0,0.64,0.6879488253808493,0.07091802963300023,0.24113314498615043,0.1970353747346866,0.43256747809437357,0.37039714717093986,1.0,9.993053108865628e-17,1.0,0.0,9,0308154203
0.0,0.64,0.7357650651326294,0.051041936558716916,0.2131929983086537,0.20085712048832277,0.4167341171942373,0.3824087623174399,2.283674086598292e-33,1.172299251926016e-16,0.0,0.0,10,0308154203
1.0,0.64,0.7614435235104805,0.040463169260260244,0.19809330722925936,0.1782537761249159,0.4373822750918947,0.38436394878318936,1.0,9.436345386863918e-17,1.0,0.0,11,0308154203
1.0,0.64,0.7861269044774372,0.03134702978402735,0.18252606573853558,0.1599209686141756,0.45381006937792884,0.38626896200789557,1.0,9.097026563631037e-17,1.0,0.0,12,0308154203
1.0,0.64,0.8084247793182897,0.023954689950171658,0.1676205307315386,0.1446205832578718,0.46745350827046,0.3879259084716683,1.0,8.892309714075396e-17,1.0,0.0,13,0308154203
1.0,0.64,0.8281174259605406,0.018139585656188534,0.15374298838327088,0.13160441186294433,0.47907482267644436,0.3893207654606113,1.0,8.757201987383339e-17,1.0,0.0,14,0308154203
0.0,0.64,0.8423612391935962,0.014739017864765197,0.14289974294163862,0.11882529412856255,0.492190026183233,0.3889846796882044,2.2823906967255085e-33,1.0,0.0,0.0,15,0308154203
1.0,0.64,0.8657871106508302,0.010328531854268075,0.12388435749490181,0.11664252685175418,0.4864854861625268,0.3968719869857191,1.0,0.9999999999999998,1.0,0.0,16,0308154203
0.0,0.64,0.8794087309824742,0.008060679185477971,0.11253058983204779,0.10466002882020282,0.4981213184289798,0.39721865275081747,1.4805242569463755e-33,1.0,0.0,0.0,17,0308154203
0.0,0.64,0.901571275144497,0.005176434182570074,0.09325229067293289,0.10168073449374795,0.4918966807353889,0.4064225847708632,7.2838341730780665e-34,1.1095686031925174e-16,0.0,0.0,18,0308154203
1.0,0.64,0.9186484077879442,0.00338603352245874,0.07796555868959698,0.09649458615645065,0.4914511210543733,0.4120542927891761,1.0,1.0,1.0,0.0,19,0308154203
1.0,0.64,0.9266142622602002,0.0025223564497131837,0.07086338129008651,0.08868053546221694,0.49862878950122924,0.4126906750365537,1.0,9.584408903198165e-17,1.0,0.0,20,0308154203
1.0,0.64,0.933918549155296,0.0018654851945435153,0.06421596565016059,0.08163143689867265,0.5050119570913878,0.41335660600993956,1.0,9.513340188034678e-17,1.0,0.0,21,0308154203
1.0,0.64,0.9461599098010104,0.0011743868942732808,0.05266570330471629,0.07645169084519123,0.5057988388169283,0.41774947033788046,1.0,1.0,1.0,0.0,22,0308154203
0.0,0.64,0.9573258738368955,0.0007020252418488312,0.04197210092125561,0.0717811062451449,0.5046150884476392,0.4236038053072159,4.62131222195756e-34,1.0422812608852754e-16,0.0,0.0,23,0308154203
1.0,0.64,0.9615854075974531,0.0005151720141139778,0.0378994203884328,0.06629812564335036,0.5095932598753632,0.42410861448128645,1.0,9.667314190486609e-17,1.0,0.0,24,0308154203
1.0,0.64,0.9689896245761543,0.00031607977388675273,0.030694295649958937,0.06164537129702419,0.5107813595341572,0.42757326916881855,1.0,1.0,1.0,0.0,25,0308154203
