self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.08,0.2670701694212619,0.40060525413189285,0.3323245764468452,0.3106126885732904,0.3550536748926879,0.3343336365340216,9.471019091425421e-33,1.0281776488127499e-16,1.0,3.0,1,0308110708
1.0,0.08,0.20779115534432188,0.46753009952472435,0.3246787451309538,0.289028407585697,0.37661702333235825,0.3343545690819448,1.0,1.0,0.0,3.0,2,0308110708
0.0,0.08,0.1706413058341807,0.5132933031341181,0.31606539103170117,0.27464723920259937,0.3916686382808095,0.3336841225165911,6.894219972459211e-33,7.955070787795476e-17,1.0,3.0,3,0308110708
0.0,0.08,0.20191114663227167,0.4464576240195711,0.35163122934815716,0.23766588784101667,0.42367350153652705,0.33866061062245634,1.42630259593295e-32,1.0,0.0,3.0,4,0308110708
1.0,0.08,0.25162383207726696,0.37092017979080955,0.3774559881319234,0.21629251427082372,0.44868646568469706,0.3350210200444792,1.0,6.77980529565921e-17,1.0,3.0,5,0308110708
0.0,0.08,0.2525279606321477,0.355654293636086,0.3918177457317662,0.18027597180981048,0.484072266195452,0.33565176199473745,1.0098620408464497e-32,1.0,0.0,3.0,6,0308110708
0.0,0.08,0.2106459686911336,0.39463209054653875,0.3947219407623276,0.16831667125877817,0.5002487577409234,0.3314345710002984,8.804458055631031e-33,3.5489068327021084e-17,1.0,3.0,7,0308110708
0.0,0.08,0.17890106148754698,0.4238540023345934,0.39724493617785955,0.1542558897264199,0.5190030352210835,0.3267410750524966,8.152570397384201e-33,3.267219609904777e-17,1.0,3.0,8,0308110708
0.0,0.08,0.1532876741003808,0.4475044586724844,0.39920786722713475,0.1403246243682779,0.5377666753115713,0.3219087003201508,7.774372257853564e-33,3.0945069005458703e-17,1.0,3.0,9,0308110708
0.0,0.08,0.15242859927193234,0.4322524210157715,0.4153189797122962,0.11647474261510474,0.5682436728911866,0.31528158449370863,9.21344423018558e-33,1.0,0.0,3.0,10,0308110708
0.0,0.08,0.14730890400927582,0.42366446341921654,0.4290266325715077,0.0947979271296887,0.5982830368390845,0.30691903603122683,8.568823923007088e-33,1.0,0.0,3.0,11,0308110708
0.0,0.08,0.14076420129118317,0.41778276873011794,0.441453029978699,0.07637533098596334,0.625934281317871,0.29769038769616585,8.205847319698899e-33,1.0,0.0,3.0,12,0308110708
0.0,0.08,0.1338798794598088,0.41320194354396544,0.4529181769962259,0.061123649464060445,0.650870064223203,0.28800628631273645,7.975069420107482e-33,1.0,0.0,3.0,13,0308110708
0.0,0.08,0.12710539332664256,0.4093232507187653,0.46357135595459203,0.048671892511732706,0.6731985589317669,0.27812954855650035,7.817585236257432e-33,1.0,0.0,3.0,14,0308110708
0.0,0.08,0.10940674459248616,0.4238624849107566,0.4667307704967573,0.04330130155857084,0.6868162144782253,0.26988248396320375,7.632657697452051e-33,1.0396493708795402e-17,1.0,3.0,15,0308110708
0.0,0.08,0.09433677178560372,0.4355581722298684,0.47010505598452784,0.03801674610098074,0.700812427302057,0.2611708265969623,7.456053762278996e-33,9.968527521666165e-18,1.0,3.0,16,0308110708
0.0,0.08,0.0814965970236968,0.44522726460180373,0.4732761383744994,0.03309470683217059,0.7144253931345946,0.2524799000332347,7.333018026458685e-33,9.632438211351616e-18,1.0,3.0,17,0308110708
0.0,0.08,0.07726792996652175,0.4403002629240815,0.48243180710939676,0.026249358659046713,0.7315981522499969,0.24215248909095638,7.790944484957252e-33,1.0,0.0,3.0,18,0308110708
0.0,0.08,0.07300165784892654,0.4361285668159095,0.49086977533516396,0.02069610076365903,0.7472881489342237,0.2320157503021174,7.704662824546367e-33,1.0,0.0,3.0,19,0308110708
0.0,0.08,0.06317379674359024,0.4431492229914937,0.4936769802649161,0.017837442253164647,0.7586109319758155,0.22355162577101978,7.261166061027171e-33,6.970594754258531e-18,1.0,3.0,20,0308110708
0.0,0.08,0.05954659948581235,0.4391621923595704,0.5012912081546173,0.013996964944714474,0.7721741090422511,0.2138289260130344,7.65818464657034e-33,1.0,0.0,3.0,21,0308110708
0.0,0.08,0.051577644853107195,0.44461923937271647,0.5038031157741762,0.011977449586528903,0.7822883300963873,0.2057342203170837,7.201169455516433e-33,5.971722610562958e-18,1.0,3.0,22,0308110708
0.0,0.08,0.04470370747413941,0.4492033966588767,0.5060928958669838,0.010201996847679914,0.791869512299675,0.19792849085264522,7.149216441990885e-33,5.842497555598456e-18,1.0,3.0,23,0308110708
0.0,0.08,0.042039394687687255,0.4451560479905235,0.5128045573217893,0.00796992473131208,0.803102116085009,0.18892795918367886,7.635373431523362e-33,1.0,0.0,3.0,24,0308110708
0.0,0.08,0.03646598495522636,0.44873981244599886,0.5147942025987747,0.006755120857349685,0.8115978234975783,0.18164705564507216,7.11576074334361e-33,5.0789671458112074e-18,1.0,3.0,25,0308110708
