self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.08,0.4005779603484718,0.2670519735656479,0.3323700660858802,0.3550563058263632,0.3106099969736316,0.33433369720000516,9.471049541602978e-33,9.379272413172074e-17,0.0,2.0,1,0308112104
1.0,0.08,0.32873687753851316,0.32873687753851316,0.3425262449229736,0.3777456298619293,0.28792452225002774,0.334329847888043,1.0,9.877112137720552e-17,0.0,2.0,2,0308112104
0.0,0.08,0.37420307541547293,0.2799082752840456,0.3458886493004814,0.3941505815485277,0.27230857028965905,0.3335408481618133,9.840934982426429e-33,7.234038687096039e-17,0.0,2.0,3,0308112104
1.0,0.08,0.33431405929334984,0.31250999961132514,0.3531759410953251,0.4145669039002566,0.2533623242191708,0.3320707718805726,1.0,7.520482427248742e-17,0.0,2.0,4,0308112104
0.0,0.08,0.3665294837529396,0.2761911245876813,0.35727939165937905,0.43084862932734436,0.2388159022385997,0.33033546843405603,9.913773705528058e-33,6.359762345424644e-17,0.0,2.0,5,0308112104
0.0,0.08,0.33677850499596246,0.31185006299871243,0.3513714320053251,0.48810721789992184,0.20513212341935913,0.30676065868071895,9.417770143802333e-33,1.0,1.0,2.0,6,0308112104
0.0,0.08,0.3609904255552999,0.2820041663710802,0.35700540807361986,0.5045961296637639,0.19188669541007544,0.3035171749261607,9.306092544014109e-33,4.0001230620496304e-17,0.0,2.0,7,0308112104
0.0,0.08,0.38044649149223947,0.2587112788241874,0.36084222968357327,0.5224898414185725,0.17831613151074718,0.2991940270706804,8.858257117599146e-33,3.792226355781431e-17,0.0,2.0,8,0308112104
0.0,0.08,0.3657722759026922,0.27327623133945916,0.3609514927578486,0.5763429910103474,0.1472503068754403,0.2764067021142122,7.550357045819071e-33,1.0,1.0,2.0,9,0308112104
0.0,0.08,0.3582565731325373,0.27979923200414636,0.3619441948633163,0.6250877949201387,0.11962600374258464,0.25528620133727664,6.760494952778587e-33,1.0,1.0,2.0,10,0308112104
0.0,0.08,0.35354803689500197,0.28308842958448616,0.36336353352051187,0.6682160641508206,0.09636783016019726,0.2354161056889821,6.359204932758782e-33,1.0,1.0,2.0,11,0308112104
0.0,0.08,0.3680375281297035,0.26265996363021527,0.36930250824008126,0.6831815149405208,0.08808445997527524,0.2287340250842039,8.634804640580993e-33,1.5870489839861268e-17,0.0,2.0,12,0308112104
0.0,0.08,0.3801407977189328,0.24581804653688646,0.3740411557441806,0.6996651142214521,0.07955038054653148,0.22078450523201654,8.411288106348974e-33,1.5216495892416698e-17,0.0,2.0,13,0308112104
0.0,0.08,0.3906193964100457,0.23135649758922786,0.3780241060007264,0.7163812997286588,0.07129633826188196,0.2123223620094591,8.25320992947943e-33,1.468899654715451e-17,0.0,2.0,14,0308112104
0.0,0.08,0.38793571064020643,0.231977446124718,0.38008684323507563,0.7508363644277185,0.056150014072279236,0.1930136215000023,6.21994764276914e-33,1.0,1.0,2.0,15,0308112104
0.0,0.08,0.39673360194441337,0.2193921079088036,0.383874290146783,0.7655248231323784,0.04988774043502885,0.18458743643259284,8.136511549130512e-33,1.1445291140679174e-17,0.0,2.0,16,0308112104
0.0,0.08,0.3955157246823122,0.2184288406081542,0.38605543470953346,0.7944188474434677,0.03873606232957108,0.16684509022696117,6.087491278172603e-33,1.0,1.0,2.0,17,0308112104
0.0,0.08,0.3951015941571485,0.21666026477611408,0.38823814106673743,0.8196468031714375,0.02981906389473004,0.15053413293383244,5.983028496331034e-33,1.0,1.0,2.0,18,0308112104
0.0,0.08,0.4022280611291764,0.20582289873465762,0.3919490401361659,0.8308328219630728,0.02622371378974141,0.1429434642471856,8.041337183573372e-33,7.676008349344846e-18,0.0,2.0,19,0308112104
0.0,0.08,0.40863621227542346,0.19608029763347704,0.3952834900910995,0.8416753215078966,0.022935513660506897,0.13538916483159646,7.96775270926133e-33,7.48525683746639e-18,0.0,2.0,20,0308112104
0.0,0.08,0.4144525154478705,0.1872362897552497,0.39831119479687965,0.8520130367465075,0.019974156369806345,0.1280128068836862,7.908765148966527e-33,7.318089553322944e-18,0.0,2.0,21,0308112104
0.0,0.08,0.4197695064949315,0.17914750714583882,0.40108298635922973,0.86176941649365,0.017335837582736487,0.12089474592361356,7.860364035164517e-33,7.170361823596578e-18,0.0,2.0,22,0308112104
0.0,0.08,0.42465798423686185,0.1717047791918746,0.40363723657126355,0.8709171585789505,0.015003978057501177,0.11407886336354836,7.819918925823777e-33,7.038999972735923e-18,0.0,2.0,23,0308112104
0.0,0.08,0.42499950058485475,0.1694423446801007,0.4055581547350446,0.8869589377909218,0.011309302551098795,0.10173175965797931,5.99064845578401e-33,1.0,1.0,2.0,24,0308112104
0.0,0.08,0.425711931003014,0.16684204170119957,0.4074460272957865,0.9010000492462298,0.008457626893472651,0.09054232386029765,5.939219993976142e-33,1.0,1.0,2.0,25,0308112104
