self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.48,0.37773441893654935,0.2889126546302597,0.3333529264331909,0.37773441893654935,0.2889126546302597,0.3333529264331909,9.762071356591737e-33,9.76207135659177e-17,0.0,0.0,1,0311121651
0.0,0.48,0.41982565818937007,0.2486482356608148,0.33152610614981515,0.41982565818937,0.24864823566081484,0.3315261061498151,9.212110427318614e-33,9.212110427318711e-17,0.0,0.0,2,0311121651
1.0,0.48,0.46189524799571574,0.21016425012736123,0.3279405018769231,0.46189524799571563,0.2101642501273613,0.32794050187692303,1.0,1.0,1.0,0.0,3,0311121651
0.0,0.48,0.5118550786690934,0.17678364710641872,0.31136127422448784,0.4124270818737954,0.24304742261943746,0.34452549550676714,8.700670591337585e-33,0.9999999999999998,0.0,0.0,4,0311121651
1.0,0.48,0.5536532601266937,0.14532612745174925,0.30102061242155703,0.4516323371176999,0.20453707044570513,0.3438305924365949,1.0,1.0,1.0,0.0,5,0311121651
1.0,0.48,0.6010698082411037,0.11928940883759058,0.27964078292130573,0.4023934656531815,0.23382576785192588,0.36378076649489255,1.0,1.1195224776990594e-16,1.0,0.0,6,0311121651
0.0,0.48,0.6469749372953301,0.09523511250887819,0.25778995019579176,0.36215592027544435,0.2579140411159658,0.37993003860858987,7.410381132388414e-33,1.0,0.0,0.0,7,0311121651
1.0,0.48,0.6912136996589435,0.0741660481391709,0.23462025220188548,0.3238770706508999,0.28036311530952185,0.3957598140395783,1.0,1.0360068081433624e-16,1.0,0.0,8,0311121651
0.0,0.48,0.7232147747922258,0.05931836757184254,0.21746685763593165,0.3512016783154048,0.24289445668939721,0.40590386499519804,6.871217768753875e-33,9.95830223403435e-17,0.0,0.0,9,0311121651
1.0,0.48,0.7650431939138659,0.043841965557788826,0.19111484052834524,0.3170301561724225,0.2584002576122103,0.4245695862153672,1.0,9.95161234030698e-17,1.0,0.0,10,0311121651
0.0,0.48,0.7953372606002852,0.03335407338371515,0.17130866601599978,0.3384789741697897,0.2239200146913474,0.4376010111388628,5.928946432832374e-33,9.592648017145139e-17,0.0,0.0,11,0311121651
1.0,0.48,0.820613691113342,0.02514949827752712,0.15423681060913066,0.3632163166401817,0.18972982073084865,0.44705386262896973,1.0,1.0,1.0,0.0,12,0311121651
0.0,0.48,0.8468965807209915,0.01828050785441517,0.13482291142459343,0.37889067322123376,0.1626131755570458,0.45849615122172044,5.5265335930911256e-33,9.093711908728645e-17,0.0,0.0,13,0311121651
1.0,0.48,0.8693547369276372,0.013077183788412884,0.11756807928395006,0.3971873561773814,0.13556183172577635,0.46725081209684227,1.0,1.0,1.0,0.0,14,0311121651
0.0,0.48,0.890792107328796,0.009105276133831778,0.10010261653737222,0.40793279705531976,0.11441319961935204,0.4776540033253282,5.189617889501016e-33,8.684902492271348e-17,0.0,0.0,15,0311121651
1.0,0.48,0.9129046078285884,0.0061260378663341025,0.08096935430507754,0.37519046194106354,0.11844993234780962,0.5063596057111268,1.0,1.0694164784636584e-16,1.0,0.0,16,0311121651
0.0,0.48,0.9292767942205138,0.0040754450016412345,0.06664776077784502,0.3827610186632942,0.09863261925851495,0.5186063620781908,4.431168792269088e-33,8.430939264610078e-17,0.0,0.0,17,0311121651
0.0,0.48,0.9417906710970692,0.0028590526598594353,0.055350276243071615,0.3508777325623969,0.102609530245574,0.5465127371920291,4.955607647184842e-33,0.9999999999999998,0.0,0.0,18,0311121651
1.0,0.48,0.952235522283047,0.0019011259671138049,0.04586335174983922,0.3597003654726751,0.08389231517857755,0.5564073193487473,1.0,1.0,1.0,0.0,19,0311121651
1.0,0.48,0.9637146509788088,0.001186407496682135,0.03509894152450893,0.3316159808936595,0.08268427374625491,0.5856997453600856,1.0,1.0573453630543278e-16,1.0,0.0,20,0311121651
0.0,0.48,0.9714690924810669,0.000748078484971684,0.027782829033961398,0.333710613255391,0.06767430996518355,0.5986150767794254,3.682280890314219e-33,8.746697822041873e-17,0.0,0.0,21,0311121651
1.0,0.48,0.979203607727674,0.00044223784983226744,0.02035415442249365,0.3067444597045949,0.06419076977636934,0.6290647705190356,1.0,1.0141821796539816e-16,1.0,0.0,22,0311121651
0.0,0.48,0.984099148698538,0.0002684768752345511,0.015632374426227575,0.305306269168174,0.05157891299770907,0.643114817834117,3.155422572731883e-33,8.539407061335502e-17,0.0,0.0,23,0311121651
1.0,0.48,0.9888097892775585,0.00015156343856238263,0.011038647283879098,0.2790182601670312,0.04731206615309979,0.6736696736798691,1.0,9.787193513782263e-17,1.0,0.0,24,0311121651
0.0,0.48,0.9916632627678258,8.892896687993548e-05,0.00824780826529426,0.2746305374898221,0.037328563122614324,0.6880408993875635,2.7184050164560215e-33,8.36337475650819e-17,0.0,0.0,25,0311121651
