self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.12,0.2889126546302597,0.37773441893654935,0.3333529264331909,0.37773441893654935,0.2889126546302597,0.3333529264331909,9.762071356591737e-33,1.0,1.0,1.0,1,0311115656
1.0,0.12,0.24777382032325823,0.42480259363849643,0.3274235860382454,0.33082118672384125,0.3298577255740079,0.3393210877021508,1.0,1.0,0.0,1.0,2,0311115656
0.0,0.12,0.23898290403637973,0.43481111196478806,0.32620598399883216,0.33983467464004574,0.31988169560697177,0.3402836297529824,1.1418873985190282e-33,1.0,1.0,1.0,3,0311115656
0.0,0.12,0.23260780508373208,0.4419201045104478,0.3254720904058201,0.34398154384256474,0.3153127780196155,0.3407056781378197,1.0804907720497118e-33,1.0,1.0,1.0,4,0311115656
0.0,0.12,0.22773049057611192,0.4473239759337451,0.3249455334901431,0.3466835860221698,0.3123242915187038,0.3409921224591264,1.0569542197797054e-33,1.0,1.0,1.0,5,0311115656
0.0,0.12,0.22378181910639527,0.4516882190764813,0.32452996181712335,0.3487014077853342,0.31008503947338895,0.34121355274127685,1.0439534419480676e-33,1.0,1.0,1.0,6,0311115656
0.0,0.12,0.22045913386238275,0.45535717278261056,0.32418369335500663,0.3503200874949578,0.3082842354766836,0.34139567702835855,1.0354672831403538e-33,1.0,1.0,1.0,7,0311115656
0.0,0.12,0.18505942677208756,0.5016460492639463,0.3132945239639661,0.3043449386731351,0.34716735558158746,0.34848770574527743,9.173422608308624e-33,1.889151601265097e-16,1.0,1.0,8,0311115656
1.0,0.12,0.1535196751656531,0.5470167446134915,0.29946358022085545,0.3410928546991629,0.30148079005540496,0.35742635524543215,1.0,1.7189578616436916e-16,0.0,1.0,9,0311115656
0.0,0.12,0.15127905591724344,0.5499941665573758,0.2987267775253809,0.34228850736183775,0.3000490971805009,0.35766239545766143,9.719364928725975e-34,1.0,1.0,1.0,10,0311115656
0.0,0.12,0.1491334445377081,0.552836603772946,0.2980299516893458,0.34330789426443636,0.2987959226545261,0.35789618308103754,9.67810016470665e-34,1.0,1.0,1.0,11,0311115656
0.0,0.12,0.13420153733946863,0.5728513916707063,0.29294707098982514,0.33529170491791843,0.3044526917232131,0.3602556033588686,9.734832213221403e-34,1.0940212311735404e-16,1.0,1.0,12,0311115656
0.0,0.12,0.12403355439190765,0.5862048838734373,0.2897615617346551,0.3317238735858461,0.30664180226812904,0.3616343241460248,9.156429951229583e-34,1.0434772360653179e-16,1.0,1.0,13,0311115656
1.0,0.12,0.10812035439037679,0.6087573573961984,0.2831222882134249,0.33695971582350454,0.298883748985286,0.36415653519120944,1.0,1.0000064874751269e-16,0.0,1.0,14,0311115656
0.0,0.12,0.10133769084858547,0.618247218595964,0.2804150905554506,0.33469509094972083,0.30009099191771105,0.365213917132568,4.740576303354104e-34,1.0241815026262406e-16,1.0,1.0,15,0311115656
0.0,0.12,0.09575921792157058,0.6259986999959086,0.27824208208252077,0.3330523735754447,0.3008894689264644,0.3660581574980909,4.651601390247931e-34,1.0150877368091225e-16,1.0,1.0,16,0311115656
0.0,0.12,0.0910400394262093,0.6325434145464497,0.276416546027341,0.33176051889965963,0.3014743651810759,0.3667651159192645,4.586897146736434e-34,1.0095167208695804e-16,1.0,1.0,17,0311115656
0.0,0.12,0.08695915793777749,0.638205750140858,0.2748350919213644,0.3306936990818006,0.3019310198947345,0.3673752810234649,4.5362358138686984e-34,1.0057551466838837e-16,1.0,1.0,18,0311115656
0.0,0.12,0.08565493568735914,0.6404787216106466,0.2738663427019943,0.3314684462592843,0.30086069797365733,0.36767085576705844,9.12809917717364e-34,1.0,1.0,1.0,19,0311115656
0.0,0.12,0.08211242585622389,0.6454383701284027,0.27244920401537337,0.330559517087462,0.3012301043558076,0.36821037855673044,4.4805798887583665e-34,1.0045722926263446e-16,1.0,1.0,20,0311115656
0.0,0.12,0.07894931004773482,0.6498770178503002,0.27117367210196497,0.3297671039304083,0.3015393077939712,0.36869358827562054,4.445798801331605e-34,1.0025421302082528e-16,1.0,1.0,21,0311115656
0.0,0.12,0.07773431779756192,0.6520630112224277,0.27020267098001044,0.3304281901066729,0.30058809813274623,0.3689837117605808,9.048715072963263e-34,1.0,1.0,1.0,22,0311115656
0.0,0.12,0.0765281409946844,0.6542023879268338,0.2692694710784818,0.3310121226319195,0.2997284367337539,0.36925944063432664,9.028429378927664e-34,1.0,1.0,1.0,23,0311115656
0.0,0.12,0.07375188247738289,0.6581669629965585,0.26808115452605863,0.3303112772925206,0.2999893695135195,0.3696993531939599,4.389917441201248e-34,1.0031000256042226e-16,1.0,1.0,24,0311115656
0.0,0.12,0.07121890697076709,0.6617938402680866,0.2669872527611463,0.3296820976688427,0.30021570227619804,0.37010220005495925,4.363937404944481e-34,1.0018451519142933e-16,1.0,1.0,25,0311115656
