self_press_hist,prob_self_action,belief_self_pos_hist,belief_self_neg_hist,belief_self_zero_hist,belief_other_pos_hist,belief_other_neg_hist,belief_other_zero_hist,belief_self_press_hist,belief_other_press_hist,outcome_present_hist,experiment_condition_hist,timesteps,PID
0.0,0.4,0.4005779603484718,0.2670519735656479,0.3323700660858802,0.3550563058263632,0.3106099969736316,0.33433369720000516,9.471049541602978e-33,9.379272413172074e-17,0.0,4.0,1,0308111125
1.0,0.4,0.33074626830737724,0.33074626830737724,0.33850746338524557,0.33132795759893896,0.3323069600725999,0.3363650823284612,1.0,1.0,0.0,4.0,2,0308111125
0.0,0.4,0.2479516883106832,0.416897248485867,0.33515106320344973,0.3027629623805333,0.3605250520986251,0.3367119855208415,1.291243928540482e-32,1.4149608862913122e-16,1.0,4.0,3,0308111125
1.0,0.4,0.21561212727205112,0.45349960933611233,0.33088826339183663,0.2906380758760471,0.372601043185499,0.3367608809384538,1.0,1.0,0.0,4.0,4,0308111125
1.0,0.4,0.1657407042565792,0.522906658236894,0.31135263750652675,0.30996854458028494,0.3505595011858031,0.33947195423391185,1.0,1.4114752916396693e-16,0.0,4.0,5,0308111125
0.0,0.4,0.12108903562984304,0.5878654839878321,0.291045480382325,0.2891970287594006,0.37132068044706196,0.33948229079353753,5.507947177686969e-33,9.999922038662243e-17,1.0,4.0,6,0308111125
0.0,0.4,0.19094386334297983,0.4705145638289852,0.33854157282803504,0.32068536991963525,0.33907069699486725,0.3402439330854975,1.785432044080933e-32,1.2313665630258675e-16,0.0,4.0,7,0308111125
0.0,0.4,0.2396443358045308,0.403944770877721,0.3564108933177481,0.3422056619650584,0.31753084124170183,0.3402634967932397,1.3106019801414523e-32,9.34964324034719e-17,0.0,4.0,8,0308111125
0.0,0.4,0.2730532890585035,0.34609477683575457,0.3808519341057419,0.29272411682743066,0.3536376972841094,0.35363818588845986,1.5367500260778678e-32,0.9999999999999998,0.0,4.0,9,0308111125
1.0,0.4,0.36028150757144634,0.2597517906973856,0.3799667017311681,0.3253382408174164,0.31978424639741204,0.35487751278517154,1.0,0.9999999999999998,1.0,4.0,10,0308111125
1.0,0.4,0.2913316776782321,0.31713078382060106,0.3915375385011669,0.3363211560717036,0.3077103284201333,0.3559685155081631,1.0,9.332541423007768e-17,0.0,4.0,11,0308111125
0.0,0.4,0.23720741911604445,0.3772846566966166,0.38550792418733887,0.31113271592717945,0.3320358110351014,0.3568314730377191,6.1001192535656405e-33,8.59272618523156e-17,1.0,4.0,12,0308111125
0.0,0.4,0.19584638668236576,0.42169475371664383,0.38245885960099035,0.29117989231493163,0.3499380444280422,0.35888206325702615,5.0453867617666964e-33,7.321425554242029e-17,1.0,4.0,13,0308111125
0.0,0.4,0.20517395476617875,0.38984692954074507,0.40497911569307615,0.2609066034974162,0.3721092925176643,0.3669841039849196,9.620477811161344e-33,1.0,0.0,4.0,14,0308111125
1.0,0.4,0.1720459716938096,0.42741039840863926,0.4005436298975512,0.26825819903217735,0.3609765887887169,0.37076521217910574,1.0,8.279780247618017e-17,0.0,4.0,15,0308111125
0.0,0.4,0.1407372038005811,0.4623061073334389,0.39695668886597996,0.25099366271239915,0.37628929419590496,0.372717043091696,3.509321656155471e-33,4.9460634561236615e-17,1.0,4.0,16,0308111125
0.0,0.4,0.11288376566340651,0.4929720665929978,0.39414416774359556,0.23341657568925767,0.3909895362554803,0.37559388805526206,3.164288632930467e-33,4.5477864691195984e-17,1.0,4.0,17,0308111125
0.0,0.4,0.1119729220554133,0.5447461590836096,0.3432809188609771,0.28439991206433257,0.35077263360023336,0.36482745433543406,1.2624826392159584e-32,0.9999999999999998,1.0,4.0,18,0308111125
1.0,0.4,0.19264181041958212,0.434158424784598,0.3731997647958198,0.275660097729057,0.3717675738905411,0.3525723283804019,1.0,1.852131908488656e-16,1.0,4.0,19,0308111125
1.0,0.4,0.24502562229121286,0.3526843834206312,0.402289994288156,0.294305581564286,0.3461289574989171,0.359565460936797,1.0,1.0,1.0,4.0,20,0308111125
0.0,0.4,0.3209283147260321,0.2946712584874945,0.38440042678647346,0.3299272025285936,0.31965413726329295,0.35041866020811346,1.6942545375256952e-32,1.5416152183868096e-16,0.0,4.0,21,0308111125
1.0,0.4,0.28903310500836044,0.3182924894989917,0.3926744054926479,0.3391514967379635,0.30823523367073336,0.35261326959130307,1.0,7.619988755549877e-17,0.0,4.0,22,0308111125
0.0,0.4,0.23243943092117797,0.3628704923310464,0.4046900767477757,0.31446491470435056,0.32587522007679565,0.35965986521885385,5.1653575093099394e-33,7.200064139253883e-17,1.0,4.0,23,0308111125
0.0,0.4,0.19510750948034813,0.4282959631805005,0.37659652733915133,0.35095441611780476,0.29954057504151194,0.34950500884068325,1.1446616600181815e-32,0.9999999999999998,1.0,4.0,24,0308111125
1.0,0.4,0.1778400357941833,0.4434735079103696,0.37868645629544706,0.36006996771791566,0.28902948756584573,0.3509005447162386,1.0,7.189645234223717e-17,0.0,4.0,25,0308111125
